type; start; end; value; unit
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-12-01 18:05:31 +0100"; "2022-12-01 19:18:17 +0100"; "802.154"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-12-01 18:05:31 +0100"; "2022-12-01 19:18:17 +0100"; "12.6257"; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-11-12 10:00:00 +0100"; "2022-11-12 11:08:01 +0100"; 11.70; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-11-07 10:00:00 +0100"; "2022-11-07 11:23:01 +0100"; 14.16; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-11-03 10:00:00 +0100"; "2022-11-03 11:18:01 +0100"; 12.65; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-11-12 10:00:00 +0100"; "2022-11-12 11:08:01 +0100"; 742; "kcal"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-11-07 10:00:00 +0100"; "2022-11-07 11:23:01 +0100"; 895; "kcal"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-11-03 10:00:00 +0100"; "2022-11-03 11:18:01 +0100"; 790; "kcal"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-12-15 10:00:00 +0100"; "2022-11-03 11:00:01 +0100"; 739; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-12-15 10:00:00 +0100"; "2022-11-03 11:00:01 +0100"; 9.65; "km"

